項目,SNS映え,おいしさ,アクセスの良さ,オリジナリティ,コスパ良き,スタッフの態度,メニューの多いさ,季節限定メニュー,店の広さ,店舗数,柔軟な対応リクエスト,満足感,色の多いさ,衛生,見た目,量の多いさ
31,5.0,4.666666666666667,3.3333333333333335,3.3333333333333335,2.3333333333333335,4.333333333333333,4.666666666666667,4.666666666666667,1.6666666666666667,3.6666666666666665,3.3333333333333335,4.0,5.0,3.6666666666666665,5.0,2.6666666666666665
しゃぶ葉,2.0,3.6666666666666665,3.0,3.0,4.666666666666667,3.6666666666666665,2.6666666666666665,2.3333333333333335,4.0,3.0,4.0,4.333333333333333,4.666666666666667,3.3333333333333335,3.6666666666666665,5.0
すき家,1.6666666666666667,4.333333333333333,3.6666666666666665,3.6666666666666665,4.333333333333333,3.3333333333333335,4.0,4.0,3.0,5.0,3.0,4.0,1.6666666666666667,2.0,3.6666666666666665,3.6666666666666665
ガスト,2.3333333333333335,4.333333333333333,2.6666666666666665,2.6666666666666665,3.0,3.6666666666666665,3.6666666666666665,4.0,4.666666666666667,3.6666666666666665,2.6666666666666665,3.0,4.0,4.333333333333333,4.333333333333333,2.6666666666666665
サイゼリヤ,2.6666666666666665,3.3333333333333335,2.6666666666666665,3.6666666666666665,5.0,4.0,3.6666666666666665,1.3333333333333333,3.3333333333333335,4.0,3.0,2.6666666666666665,4.0,4.333333333333333,4.0,2.6666666666666665
サブウェイ,4.0,4.0,3.3333333333333335,4.333333333333333,3.0,4.333333333333333,4.333333333333333,3.6666666666666665,1.3333333333333333,2.3333333333333335,4.666666666666667,3.0,5.0,4.333333333333333,4.666666666666667,2.6666666666666665
スシロー,2.3333333333333335,4.666666666666667,3.0,2.6666666666666665,4.333333333333333,3.0,4.333333333333333,4.333333333333333,4.333333333333333,4.333333333333333,2.0,4.666666666666667,4.0,3.0,4.0,3.6666666666666665
スターバックス,5.0,4.0,2.6666666666666665,4.333333333333333,2.0,4.333333333333333,4.666666666666667,5.0,3.3333333333333335,4.333333333333333,4.666666666666667,3.0,4.666666666666667,4.666666666666667,5.0,3.0
ドミノピザ,2.6666666666666665,4.666666666666667,3.0,4.0,4.0,2.6666666666666665,4.666666666666667,4.333333333333333,2.0,3.6666666666666665,4.666666666666667,4.666666666666667,3.3333333333333335,3.3333333333333335,4.333333333333333,4.0
マクドナルド,2.6666666666666665,5.0,4.333333333333333,4.333333333333333,3.6666666666666665,4.666666666666667,4.666666666666667,5.0,2.6666666666666665,5.0,4.333333333333333,4.666666666666667,2.0,2.6666666666666665,3.6666666666666665,3.6666666666666665
丸亀製麺,3.0,4.333333333333333,2.6666666666666665,3.6666666666666665,4.333333333333333,4.0,3.6666666666666665,4.0,3.6666666666666665,3.0,3.3333333333333335,4.666666666666667,2.0,4.0,4.0,3.0
銀だこ,2.3333333333333335,4.333333333333333,2.0,3.0,3.3333333333333335,3.0,3.0,2.3333333333333335,2.3333333333333335,3.0,2.6666666666666665,4.0,1.6666666666666667,3.3333333333333335,4.333333333333333,3.0
